year,state,state_po,margin,num_ballots
2016,ALASKA,AK,0.035717840618287255,196
2016,ARIZONA,AZ,0.12961556546925201,55
2016,ARKANSAS,AR,0.19639880742775315,36
2016,CALIFORNIA,CA,0.6160281178716075,12
2016,COLORADO,CO,0.09284245884923314,76
2016,CONNECTICUT,CT,0.24202268279420353,29
2016,FLORIDA,FL,0.05548881831727553,127
2016,GEORGIA,GA,0.09588557958551838,74
2016,HAWAII,HI,0.5044052058199897,14
2016,IDAHO,ID,0.38407937043315854,19
2016,ILLINOIS,IL,0.18285839561621728,39
2016,INDIANA,IN,0.04229132830700744,166
2016,IOWA,IA,0.21722594410513443,33
2016,KANSAS,KS,0.24354413959498167,29
2016,KENTUCKY,KY,0.14548783402899457,49
2016,LOUISIANA,LA,0.08862577845783481,79
2016,MARYLAND,MD,0.25213027800907495,28
2016,MISSOURI,MO,0.003753607762974672,1865
2016,NEVADA,NV,0.02428507237249322,289
2016,NEW HAMPSHIRE,NH,0.018418702816787067,381
2016,NEW YORK,NY,0.39847757740466433,18
2016,NORTH CAROLINA,NC,0.021235594897863738,330
2016,NORTH DAKOTA,ND,0.5842785860479239,12
2016,OHIO,OH,0.20871320637033036,34
2016,OKLAHOMA,OK,0.40161679834977737,18
2016,OREGON,OR,0.24479353928699837,29
2016,PENNSYLVANIA,PA,0.024529995426196514,286
2016,SOUTH CAROLINA,SC,0.2498857257427583,29
2016,SOUTH DAKOTA,SD,0.4365572315882875,17
2016,UTAH,UT,0.4108721628063533,18
2016,VERMONT,VT,0.27649024704571773,26
2016,WASHINGTON,WA,0.18026020891574895,39
2016,WISCONSIN,WI,0.0039355779296994416,1779
2018,ARIZONA,AZ,0.023444957614536355,299
2018,CALIFORNIA,CA,0.541638157447196,13
2018,CONNECTICUT,CT,0.18084710565025525,39
2018,DELAWARE,DE,0.23212867355043687,31
2018,FLORIDA,FL,0.001225029777149056,5715
2018,HAWAII,HI,0.42302195694101474,17
2018,INDIANA,IN,0.014678661943909606,477
2018,MAINE,ME,0.2478432683016792,29
2018,MARYLAND,MD,0.35546932917197316,20
2018,MASSACHUSETTS,MA,0.24164730393152795,29
2018,MICHIGAN,MI,0.06505602308655734,108
