year,state,state_po,totalvotes
2012,WASHINGTON,WA,3006266
2012,WEST VIRGINIA,WV,641354
2012,WISCONSIN,WI,2866050
2012,WYOMING,WY,250700
2014,ALABAMA,AL,1080880
2014,ALASKA,AK,279741
2014,ARIZONA,AZ,1467603
2014,ARKANSAS,AR,830652
2014,CALIFORNIA,CA,7132421
2014,COLORADO,CO,2000525
2014,CONNECTICUT,CT,1067857
2014,DELAWARE,DE,231617
2014,FLORIDA,FL,4998559
2014,GEORGIA,GA,2305665
2014,HAWAII,HI,369703
2014,IDAHO,ID,435157
2014,ILLINOIS,IL,3568002
2014,INDIANA,IN,1341814
2014,IOWA,IA,1120334
2014,KANSAS,KS,862077
2014,KENTUCKY,KY,1397626
2014,LOUISIANA,LA,1568722
2014,MAINE,ME,616996
2014,MARYLAND,MD,1703037
2014,MASSACHUSETTS,MA,2186789
2014,MICHIGAN,MI,3089477
2014,MINNESOTA,MN,1963539
2014,MISSISSIPPI,MS,626279
2014,MISSOURI,MO,1426303
2014,MONTANA,MT,367963
2014,NEBRASKA,NE,535530
2014,NEVADA,NV,543009
2014,NEW HAMPSHIRE,NH,480920
2014,NEW JERSEY,NJ,1821365
2014,NEW MEXICO,NM,511885
2014,NEW YORK,NY,3934705
2014,NORTH CAROLINA,NC,2807998
2014,NORTH DAKOTA,ND,248670
2014,OHIO,OH,3000161
2014,OKLAHOMA,OK,653414
2014,OREGON,OR,1450702
2014,PENNSYLVANIA,PA,3323533
2014,RHODE ISLAND,RI,316257
2014,SOUTH CAROLINA,SC,1155782
2014,SOUTH DAKOTA,SD,276319
2014,TENNESSEE,TN,1371161
2014,TEXAS,TX,4453499
2014,UTAH,UT,565970
2014,VERMONT,VT,191504
2014,VIRGINIA,VA,2135331
2014,WASHINGTON,WA,2029600
2014,WEST VIRGINIA,WV,439388
2014,WISCONSIN,WI,2355580
2014,WYOMING,WY,171153
2016,ALABAMA,AL,1889685
2016,ALASKA,AK,308198
2016,ARIZONA,AZ,2412064
2016,ARKANSAS,AR,1068577
2016,CALIFORNIA,CA,13414018
2016,COLORADO,CO,2701438
2016,CONNECTICUT,CT,1575183
2016,DELAWARE,DE,420617
2016,FLORIDA,FL,8837426
2016,GEORGIA,GA,3772862
2016,HAWAII,HI,437664
2016,IDAHO,ID,681594
2016,ILLINOIS,IL,5241767
2016,INDIANA,IN,2658367
2016,IOWA,IA,1515555
2016,KANSAS,KS,1173736
2016,KENTUCKY,KY,1765376
2016,LOUISIANA,LA,1749021
2016,MAINE,ME,771828
2016,MARYLAND,MD,2707745
2016,MASSACHUSETTS,MA,3378801
2016,MICHIGAN,MI,4670905
2016,MINNESOTA,MN,2860389
2016,MISSISSIPPI,MS,1182273
2016,MISSOURI,MO,2750079
2016,MONTANA,MT,507831
2016,NEBRASKA,NE,788266
2016,NEVADA,NV,1078497
2016,NEW HAMPSHIRE,NH,716493
2016,NEW JERSEY,NJ,3463311
2016,NEW MEXICO,NM,780126
2016,NEW YORK,NY,7800361
2016,NORTH CAROLINA,NC,4598458
2016,NORTH DAKOTA,ND,338459
2016,OHIO,OH,5218355
2016,OKLAHOMA,OK,1133245
2016,OREGON,OR,1911865
2016,PENNSYLVANIA,PA,5743978
2016,RHODE ISLAND,RI,431519
2016,SOUTH CAROLINA,SC,2011746
2016,SOUTH DAKOTA,SD,369973
2016,TENNESSEE,TN,2391061
2016,TEXAS,TX,8528526
2016,UTAH,UT,1114144
2016,VERMONT,VT,320467
2016,VIRGINIA,VA,3781568
2016,WASHINGTON,WA,3141035
2016,WEST VIRGINIA,WV,686349
2016,WISCONSIN,WI,2773662
2016,WYOMING,WY,258788
2018,ALABAMA,AL,1659895
2018,ALASKA,AK,282166
2018,ARIZONA,AZ,2341270
2018,ARKANSAS,AR,889298
2018,CALIFORNIA,CA,12184522
2018,COLORADO,CO,2513546
2018,CONNECTICUT,CT,1379808
2018,DELAWARE,DE,352737
2018,FLORIDA,FL,7021480
2018,GEORGIA,GA,5143488
2018,HAWAII,HI,382332
2018,IDAHO,ID,595724
2018,ILLINOIS,IL,4539704
2018,INDIANA,IN,2256149
2018,IOWA,IA,1316648
2018,KANSAS,KS,1050322
