year,state,state_po,num_ballots,procedural_cost,margin
2016,NEW HAMPSHIRE,NH,695,364.87,0.010071942446043165
2016,NEW JERSEY,NJ,470,246.74,0.014893617021276596
2016,NEW MEXICO,NM,81,42.519999999999996,0.08641975308641975
2016,NEW YORK,NY,869,456.18,0.00805523590333717
2016,NORTH CAROLINA,NC,440,230.98,0.015909090909090907
2016,NORTH DAKOTA,ND,16,8.4,0.4375
2016,OHIO,OH,338,177.45,0.020710059171597635
2016,OKLAHOMA,OK,87,45.68,0.08045977011494253
2016,OREGON,OR,174,91.33,0.040229885057471264
2016,PENNSYLVANIA,PA,558,292.96,0.012544802867383513
2016,RHODE ISLAND,RI,50,26.25,0.14
2016,SOUTH CAROLINA,SC,182,95.53999999999999,0.038461538461538464
2016,SOUTH DAKOTA,SD,25,13.12,0.28
2016,TENNESSEE,TN,156,81.91,0.04487179487179487
2016,TEXAS,TX,1325,695.62,0.005283018867924529
2016,UTAH,UT,115,60.379999999999995,0.06086956521739131
2016,VERMONT,VT,10,5.25,0.7
2016,VIRGINIA,VA,403,211.54999999999998,0.017369727047146403
2016,WASHINGTON,WA,386,202.63,0.018134715025906734
2016,WEST VIRGINIA,WV,78,40.96,0.08974358974358974
2016,WISCONSIN,WI,172,90.31,0.040697674418604654
2016,WYOMING,WY,23,12.08,0.30434782608695654
2018,ALABAMA,AL,127,66.68,0.05511811023622047
2018,ALASKA,AK,107,56.18,0.06542056074766354
2018,ARIZONA,AZ,425,223.13,0.01647058823529412
2018,ARKANSAS,AR,172,90.3,0.040697674418604654
2018,CALIFORNIA,CA,3107,1631.18,0.002252977148374638
2018,COLORADO,CO,295,154.87,0.023728813559322035
2018,CONNECTICUT,CT,168,88.2,0.041666666666666664
2018,DELAWARE,DE,25,13.12,0.28
2018,FLORIDA,FL,1393,731.29,0.005025125628140704
2018,GEORGIA,GA,5969,3133.7200000000003,0.0011727257497068187
2018,HAWAII,HI,27,14.17,0.25925925925925924
2018,IDAHO,ID,55,28.87,0.12727272727272726
2018,ILLINOIS,IL,1493,783.82,0.004688546550569324
2018,INDIANA,IN,324,170.09,0.021604938271604937
2018,IOWA,IA,736,386.4,0.009510869565217392
2018,KANSAS,KS,1007,528.67,0.006951340615690168
2018,KENTUCKY,KY,325,170.63,0.021538461538461538
2018,LOUISIANA,LA,100,52.51,0.07
2018,MAINE,ME,611,320.78000000000003,0.011456628477905073
2018,MARYLAND,MD,166,87.14,0.04216867469879518
2018,MASSACHUSETTS,MA,119,62.459999999999994,0.058823529411764705
2018,MICHIGAN,MI,874,458.83,0.008009153318077803
2018,MINNESOTA,MN,2297,1205.92,0.0030474531998258597
2018,MISSISSIPPI,MS,82,43.05,0.08536585365853659
